family,config_id,stage,entry_point,backbone,varied_params,wall_clock_sec,platform,gpu,pytorch,cuda,coverage_status,notes,user_sec,sys_sec,max_rss_kb,exit_code,cuda_visible_devices,cuda_available,cuda_device_count
Auto-Encoder,ae_comp4_lin64,training,train_ae.py,AENet,latent=4; hidden=64,72.34,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,123.27,365.61,1507464,0,1,True,1
Auto-Encoder,ae_comp4_lin128,training,train_ae.py,AENet,latent=4; hidden=128,72.30,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,126.40,368.85,1510584,0,1,True,1
Auto-Encoder,ae_comp4_lin256,training,train_ae.py,AENet,latent=4; hidden=256,74.60,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,131.45,374.15,1514664,0,1,True,1
Auto-Encoder,ae_comp8_lin64,training,train_ae.py,AENet,latent=8; hidden=64,70.13,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,122.87,369.59,1504292,0,1,True,1
Auto-Encoder,ae_comp8_lin128,training,train_ae.py,AENet,latent=8; hidden=128,71.34,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,123.81,365.85,1524512,0,1,True,1
Auto-Encoder,ae_comp8_lin256,training,train_ae.py,AENet,latent=8; hidden=256,74.03,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,128.16,369.48,1513456,0,1,True,1
Auto-Encoder,ae_comp16_lin64,training,train_ae.py,AENet,latent=16; hidden=64,69.83,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,125.94,366.56,1514096,0,1,True,1
Auto-Encoder,ae_comp16_lin128,training,train_ae.py,AENet,latent=16; hidden=128,72.49,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,125.19,375.65,1544152,0,1,True,1
Auto-Encoder,ae_comp16_lin256,training,train_ae.py,AENet,latent=16; hidden=256,74.65,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,129.80,381.30,1511424,0,1,True,1
Classification (CE),ce_resnet18,training,train_classifier.py,ResNet18,backbone=ResNet18,123.88,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,345.01,40.06,2372992,0,1,True,1
Classification (CE),ce_resnet34,training,train_classifier.py,ResNet34,backbone=ResNet34,129.43,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,329.96,37.53,2371908,0,1,True,1
Classification (CE),ce_resnet50,training,train_classifier.py,ResNet50,backbone=ResNet50,144.29,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,333.11,36.20,2377132,0,1,True,1
Classification (CE),ce_resnet101,training,train_classifier.py,ResNet101,backbone=ResNet101,164.48,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,340.81,36.37,2377552,0,1,True,1
Classification (CE),ce_resnet152,training,train_classifier.py,ResNet152,backbone=ResNet152,186.99,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,361.36,39.97,2377732,0,1,True,1
Classification (ArcFace),arcface_resnet18_m0.5,training,train_classifier.py,ResNet18,backbone=ResNet18; margin=0.5,1288.73,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,7511.43,778.06,3932100,0,1,True,1
Classification (ArcFace),arcface_resnet34_m0.5,training,train_classifier.py,ResNet34,backbone=ResNet34; margin=0.5,1320.19,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,6366.20,686.66,3951440,0,1,True,1
Classification (ArcFace),arcface_resnet50_m0.5,training,train_classifier.py,ResNet50,backbone=ResNet50; margin=0.5,1464.41,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,5287.01,578.78,3990664,0,1,True,1
Classification (ArcFace),arcface_resnet101_m0.5,training,train_classifier.py,ResNet101,backbone=ResNet101; margin=0.5,1695.78,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,5425.32,583.27,4022044,0,1,True,1
Classification (ArcFace),arcface_resnet152_m0.5,training,train_classifier.py,ResNet152,backbone=ResNet152; margin=0.5,1962.19,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,5507.63,563.27,4073092,0,1,True,1
Contrastive learning(SimCLR),simclr_resnet18,training,train_contrastive.py,ResNet18,mode=simclr; backbone=ResNet18,2486.72,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2526.09,60.09,3110432,0,1,True,1
Contrastive learning(SimCLR),simclr_resnet34,training,train_contrastive.py,ResNet34,mode=simclr; backbone=ResNet34,2353.88,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2391.40,62.64,3110580,0,1,True,1
Contrastive learning(SimCLR),simclr_resnet50,training,train_contrastive.py,ResNet50,mode=simclr; backbone=ResNet50,2394.97,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2425.00,67.92,3111044,0,1,True,1
Contrastive learning(SimCLR),simclr_resnet101,training,train_contrastive.py,ResNet101,mode=simclr; backbone=ResNet101,2405.06,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2402.03,94.37,3114240,0,1,True,1
Contrastive learning(SimCLR),simclr_resnet152,training,train_contrastive.py,ResNet152,mode=simclr; backbone=ResNet152,2382.78,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2355.42,126.46,3113408,0,1,True,1
Contrastive learning(SimSiam),simsiam_resnet18,training,train_contrastive.py,ResNet18,mode=simsiam; backbone=ResNet18,2341.83,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2380.43,77.94,3113972,0,1,True,1
Contrastive learning(SimSiam),simsiam_resnet34,training,train_contrastive.py,ResNet34,mode=simsiam; backbone=ResNet34,2486.21,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2523.99,60.62,3109056,0,1,True,1
Contrastive learning(SimSiam),simsiam_resnet50,training,train_contrastive.py,ResNet50,mode=simsiam; backbone=ResNet50,2269.57,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2298.72,63.02,3112572,0,1,True,1
Contrastive learning(SimSiam),simsiam_resnet101,training,train_contrastive.py,ResNet101,mode=simsiam; backbone=ResNet101,2400.09,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2397.16,94.68,3115024,0,1,True,1
Contrastive learning(SimSiam),simsiam_resnet152,training,train_contrastive.py,ResNet152,mode=simsiam; backbone=ResNet152,2470.81,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2441.95,129.73,3113952,0,1,True,1
Separation,sep_cb0_ch64,training,train_separation.py,TSCNet_Cont,cb=0; channels=64,1186.81,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,1504.67,157.48,3721860,0,1,True,1
Separation,sep_cb0_ch128,training,train_separation.py,TSCNet_Cont,cb=0; channels=128,1504.56,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,1838.22,157.93,3799752,0,1,True,1
Separation,sep_cb1_ch64,training,train_separation.py,TSCNet_Cont,cb=1; channels=64,1519.31,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,1851.51,159.92,4035872,0,1,True,1
Separation,sep_cb1_ch128,training,train_separation.py,TSCNet_Cont,cb=1; channels=128,2090.91,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2422.11,162.82,4116400,0,1,True,1
Separation,sep_cb2_ch64,training,train_separation.py,TSCNet_Cont,cb=2; channels=64,1846.20,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2011.64,326.99,4038556,0,1,True,1
Separation,sep_cb2_ch128,training,train_separation.py,TSCNet_Cont,cb=2; channels=128,2676.83,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2739.46,439.68,4045984,0,1,True,1
Separation,sep_cb4_ch64,training,train_separation.py,TSCNet_Cont,cb=4; channels=64,2387.43,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,2411.39,479.57,4047068,0,1,True,1
Separation,sep_cb4_ch128,training,train_separation.py,TSCNet_Cont,cb=4; channels=128,3846.73,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,3240.18,1113.36,4032652,0,1,True,1
Pre-trained,pretrained_EAT-large,evaluation,evaluate_pretrain.py,EAT-large,model=EAT-large,954.99,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,15313.12,25.25,2131124,0,1,True,1
Pre-trained,pretrained_EAT-base,evaluation,evaluate_pretrain.py,EAT-base,model=EAT-base,570.00,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,14957.55,23.00,1850656,0,1,True,1
Pre-trained,pretrained_BEATs-iter3,evaluation,evaluate_pretrain.py,BEATs-iter3,model=BEATs-iter3,937.92,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13027.25,24.30,2103432,0,1,True,1
Pre-trained,pretrained_BEATs-iter3plus,evaluation,evaluate_pretrain.py,BEATs-iter3+,model=BEATs-iter3+,952.64,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13207.39,25.74,2107128,0,1,True,1
Pre-trained,pretrained_CED-base,evaluation,evaluate_pretrain.py,CED-base,model=CED-base,574.04,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13061.43,21.86,1856024,0,1,True,1
Pre-trained,pretrained_CED-mini,evaluation,evaluate_pretrain.py,CED-mini,model=CED-mini,591.51,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13275.96,21.98,1851504,0,1,True,1
Pre-trained,pretrained_CED-small,evaluation,evaluate_pretrain.py,CED-small,model=CED-small,590.05,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13038.65,21.95,1850672,0,1,True,1
Pre-trained,pretrained_CED-tiny,evaluation,evaluate_pretrain.py,CED-tiny,model=CED-tiny,580.47,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,13123.25,21.95,1847848,0,1,True,1
Shared backbone,shared_ae_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=0,51.18,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,60.45,57.23,1589104,0,1,True,1
Shared backbone,shared_ae_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=1,56.34,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,67.53,55.96,1587364,0,1,True,1
Shared backbone,shared_ae_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=2,56.85,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,67.03,55.07,1588480,0,1,True,1
Shared backbone,shared_ae_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=3,64.71,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,73.08,57.34,1549936,0,1,True,1
Shared backbone,shared_ae_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=ae; lite_index=4,76.10,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,85.72,59.24,1568176,0,1,True,1
Shared backbone,shared_sep_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=0,56.04,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,88.15,79.14,1679104,0,1,True,1
Shared backbone,shared_sep_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=1,62.63,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,103.36,90.42,1676916,0,1,True,1
Shared backbone,shared_sep_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=2,64.36,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,94.85,80.45,1679992,0,1,True,1
Shared backbone,shared_sep_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=3,70.88,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,105.25,83.42,1634624,0,1,True,1
Shared backbone,shared_sep_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=sep_direct; lite_index=4,81.97,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,111.17,79.87,1669080,0,1,True,1
Shared backbone,shared_ce_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=0,37.37,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,57.74,21.79,1572976,0,1,True,1
Shared backbone,shared_ce_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=1,43.31,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,63.57,21.75,1576048,0,1,True,1
Shared backbone,shared_ce_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=2,43.32,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,63.83,21.76,1582212,0,1,True,1
Shared backbone,shared_ce_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=3,49.53,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,69.24,22.03,1544876,0,1,True,1
Shared backbone,shared_ce_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_ce; lite_index=4,58.95,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,78.71,22.35,1566180,0,1,True,1
Shared backbone,shared_arcface_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=0; margin=0.5,57.42,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,98.18,40.04,1899216,0,1,True,1
Shared backbone,shared_arcface_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=1; margin=0.5,65.70,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,105.89,40.54,1902256,0,1,True,1
Shared backbone,shared_arcface_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=2; margin=0.5,66.11,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,107.11,40.52,1912804,0,1,True,1
Shared backbone,shared_arcface_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=3; margin=0.5,74.27,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,114.90,40.65,1865988,0,1,True,1
Shared backbone,shared_arcface_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=classification_arcface; lite_index=4; margin=0.5,86.80,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,127.58,40.88,1885816,0,1,True,1
Shared backbone,shared_simclr_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=0,109.25,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,143.00,102.47,2109720,0,1,True,1
Shared backbone,shared_simclr_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=1,119.71,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,157.10,110.24,2119816,0,1,True,1
Shared backbone,shared_simclr_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=2,120.72,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,156.83,105.37,2123588,0,1,True,1
Shared backbone,shared_simclr_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=3,133.91,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,171.00,106.47,2087144,0,1,True,1
Shared backbone,shared_simclr_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simclr; lite_index=4,154.54,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,197.51,114.88,2105648,0,1,True,1
Shared backbone,shared_simsiam_lite0,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=0,104.32,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,135.40,82.01,2027832,0,1,True,1
Shared backbone,shared_simsiam_lite1,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=1,118.33,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,146.57,82.84,2030600,0,1,True,1
Shared backbone,shared_simsiam_lite2,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=2,119.60,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,147.38,82.28,2034512,0,1,True,1
Shared backbone,shared_simsiam_lite3,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=3,132.99,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,166.41,91.24,2001592,0,1,True,1
Shared backbone,shared_simsiam_lite4,training,train_shared_backbone.py,proxy_shared_backbone_lite,task=simsiam; lite_index=4,151.18,Linux-6.14.0-37-generic-x86_64-with-glibc2.39,NVIDIA GeForce RTX 5090,2.7.1+cu128,12.8,completed,Measured with scripts/measure_full_runtime_grid.sh.,182.75,85.10,2019192,0,1,True,1
